X,Y,Z,formation,group
457013.355556,6787479.716996,-1770.638184,unconformity,unconformity
457713.355556,6786379.716996,-1731.768677,unconformity,unconformity
457813.355556,6787929.716996,-1797.645142,unconformity,unconformity
456813.355556,6786479.716996,-1744.109009,unconformity,unconformity
458213.355556,6786129.716996,-1740.23877,unconformity,unconformity
458113.355556,6787779.716996,-1774.5876460000002,unconformity,unconformity
456963.355556,6786979.716996,-1739.05481,unconformity,unconformity
455463.355556,6787929.716996,-1851.161377,unconformity,unconformity
457163.355556,6787829.716996,-1818.483765,unconformity,unconformity
455913.355556,6787029.716996,-1831.321655,unconformity,unconformity
456263.355556,6787029.716996,-1823.9240719999998,unconformity,unconformity
