X,Y,Z,surface,group
451578.351825,6782521.772599,-1919.239014,tarbert,tarbert a
452828.351825,6787021.772599,-1935.8096920000003,tarbert,tarbert a
451828.351825,6783971.772599,-1902.3222660000001,tarbert,tarbert a
452778.351825,6787871.772599,-1958.771118,tarbert,tarbert a
451428.351825,6783471.772599,-1944.0922850000002,tarbert,tarbert a
453478.351825,6787571.772599,-1896.737549,tarbert,tarbert a
451728.351825,6783221.772599,-1913.876343,tarbert,tarbert a
453428.351825,6788221.772599,-1950.292969,tarbert,tarbert a
451678.351825,6780571.772599,-1891.184082,tarbert,tarbert a
451878.351825,6781671.772599,-1897.9899899999998,tarbert,tarbert a
452878.351825,6787071.772599,-1932.7392579999998,tarbert,tarbert a
453278.351825,6787321.772599,-1899.59021,tarbert,tarbert a
451328.351825,6782421.772599,-1953.0214839999999,tarbert,tarbert a
451628.351825,6782321.772599,-1901.530396,tarbert,tarbert a
451478.351825,6781221.772599,-1923.944824,tarbert,tarbert a
451378.351825,6782471.772599,-1939.585693,tarbert,tarbert a
451528.351825,6782671.772599,-1930.3924559999998,tarbert,tarbert a
451828.351825,6784571.772599,-1931.6353760000002,tarbert,tarbert a
451528.351825,6783621.772599,-1916.381836,tarbert,tarbert a
453578.351825,6787521.772599,-1882.622559,tarbert,tarbert a
453028.351825,6787721.772599,-1942.288452,tarbert,tarbert a
451328.351825,6783971.772599,-1946.0559079999998,tarbert,tarbert a
452028.351825,6780571.772599,-1828.671143,tarbert,tarbert a
451578.351825,6783371.772599,-1925.55481,tarbert,tarbert a
452928.351825,6786671.772599,-1902.9042969999998,tarbert,tarbert a
452978.351825,6787721.772599,-1948.716187,tarbert,tarbert a
451778.351825,6781921.772599,-1903.437988,tarbert,tarbert a
452778.351825,6786321.772599,-1900.179321,tarbert,tarbert a
451978.351825,6784971.772599,-1920.2146,tarbert,tarbert a
451378.351825,6782571.772599,-1937.545166,tarbert,tarbert a
451978.351825,6781771.772599,-1885.2236329999998,tarbert,tarbert a
453178.351825,6786271.772599,-1880.250732,tarbert,tarbert a
453278.351825,6787571.772599,-1915.043091,tarbert,tarbert a
451578.351825,6780621.772599,-1911.042847,tarbert,tarbert a
451328.351825,6783271.772599,-1936.9903559999998,tarbert,tarbert a
453728.351825,6788421.772599,-1931.152954,tarbert,tarbert a
452728.351825,6786921.772599,-1927.223389,tarbert,tarbert a
451578.351825,6784171.772599,-1931.963989,tarbert,tarbert a
452478.351825,6785771.772599,-1885.8459469999998,tarbert,tarbert a
452578.351825,6785521.772599,-1877.543701,tarbert,tarbert a
451728.351825,6783721.772599,-1896.839722,tarbert,tarbert a
452078.351825,6785171.772599,-1907.819336,tarbert,tarbert a
453378.351825,6788621.772599,-1965.9276120000002,tarbert,tarbert a
453078.351825,6788321.772599,-1967.386353,tarbert,tarbert a
451328.351825,6783821.772599,-1946.604248,tarbert,tarbert a
451628.351825,6780571.772599,-1911.206177,tarbert,tarbert a
453128.351825,6787321.772599,-1919.748779,tarbert,tarbert a
451378.351825,6783171.772599,-1942.827271,tarbert,tarbert a
451828.351825,6780721.772599,-1852.77002,tarbert,tarbert a
452178.351825,6785471.772599,-1921.534424,tarbert,tarbert a
452728.351825,6786221.772599,-1896.1273190000002,tarbert,tarbert a
452628.351825,6784871.772599,-1870.051025,tarbert,tarbert a
451728.351825,6785121.772599,-1928.4427489999998,tarbert,tarbert a
451778.351825,6781921.772599,-1903.437988,tarbert,tarbert a
451378.351825,6783571.772599,-1946.8934329999997,tarbert,tarbert a
452928.351825,6786221.772599,-1886.598267,tarbert,tarbert a
453078.351825,6785821.772599,-1887.8688960000002,tarbert,tarbert a
452997.278583,6782553.768204,-1896.9630129999998,tarbert,tarbert b
452947.278583,6782553.768204,-1902.213257,tarbert,tarbert b
452747.278583,6783853.768204,-1952.867554,tarbert,tarbert b
453697.278583,6783153.768204,-1835.117432,tarbert,tarbert b
453197.278583,6785303.768204,-1884.707397,tarbert,tarbert b
453747.278583,6784603.768204,-1882.345459,tarbert,tarbert b
453397.278583,6783553.768204,-1884.8022460000002,tarbert,tarbert b
454047.278583,6782903.768204,-1783.406494,tarbert,tarbert b
453697.278583,6785103.768204,-1895.8376460000002,tarbert,tarbert b
453347.278583,6782803.768204,-1872.65332,tarbert,tarbert b
453447.278583,6783653.768204,-1879.656006,tarbert,tarbert b
453397.278583,6782153.768204,-1835.0603030000002,tarbert,tarbert b
453447.278583,6782253.768204,-1823.440796,tarbert,tarbert b
452397.278583,6782903.768204,-1977.591064,tarbert,tarbert b
453147.278583,6783703.768204,-1898.6221920000003,tarbert,tarbert b
452947.278583,6784203.768204,-1984.064209,tarbert,tarbert b
453297.278583,6784603.768204,-1929.6622309999998,tarbert,tarbert b
453397.278583,6785003.768204,-1917.908813,tarbert,tarbert b
452797.278583,6781903.768204,-1902.1503910000001,tarbert,tarbert b
454047.278583,6782753.768204,-1780.285522,tarbert,tarbert b
453647.278583,6784053.768204,-1856.6811519999999,tarbert,tarbert b
453297.278583,6782403.768204,-1867.637939,tarbert,tarbert b
452947.278583,6783503.768204,-1923.453979,tarbert,tarbert b
452797.278583,6781953.768204,-1904.0717769999999,tarbert,tarbert b
453747.278583,6782153.768204,-1821.222046,tarbert,tarbert b
453647.278583,6784603.768204,-1901.027466,tarbert,tarbert b
454047.278583,6785153.768204,-1858.4978030000002,tarbert,tarbert b
454097.278583,6783103.768204,-1777.2321780000002,tarbert,tarbert b
454247.278583,6783903.768204,-1810.05481,tarbert,tarbert b
454047.278583,6783753.768204,-1817.472656,tarbert,tarbert b
453447.278583,6782153.768204,-1826.5797120000002,tarbert,tarbert b
452747.278583,6783703.768204,-1953.3811039999998,tarbert,tarbert b
452897.278583,6782853.768204,-1909.748657,tarbert,tarbert b
452747.278583,6782853.768204,-1934.210205,tarbert,tarbert b
453647.278583,6785303.768204,-1895.711304,tarbert,tarbert b
453347.278583,6781403.768204,-1841.589111,tarbert,tarbert b
